sto_apk;АПК
gpa_c-16;ГПА-Ц-16
bptpg;БПТПГ
gtd_nk-16st;ГТД НК-16СТ
rpo_gor;Газоопасные работы
rpo_zem;Земляные работы
kip;КИПиА
ks_theory;Компрессорная станция
ks_ms;Маслосистема КЦ
pump_theory;Нагнетатель (теория)
pump_nc-16-76;Нагнетатель НЦ-16/76
rpo_or;Огневые работы
ot_theory;Охрана труда (общие требования)
sto_pemg;ПЭМГ
med;Первая помощь
pb_theory;Промышленная безопасность
rpo_vysota;Работы на высоте
sto_srd;СРД (правила эксплуатации)
tpa;ТПА
gtd_theory;Теория ГТУ (ГТД)
sto_pozh;Пожарная безопасность
sto_kz;Корпоративная защита
rpo_theory;РПО (общие вопросы)
pla;План ликвидации аварий
sto_learn;Организация обучения и проверки знаний
avo_avg-75;АВО газа 2АВГ-75
sto_ballon;Газовые баллоны
sto_siz;Средства индивидуальной защиты
rpo_gruz;Погрузочно-разгручные работы
sto_oos;Охрана окружающей среды
sto_pod-org;Допуск подрядных организаций
sto_eb;Электробезопасность
ks_es;Электроснабжение КЦ
rpo_gidro;Гидроиспытания трубопроводов
pu_theory;Пылеуловители
risk_theory;Управление рисками
gas_theory;Свойства вредных и опасных веществ
fz_116;ФЗ №116
bdd;Безопасность дорожного движения
ot_tu;Тепловые энергоустановки
